site,id,title,dateArrive,dateDepart,localisation,prix,prixbis,avis,nombreNuits,notes,images
hotels.com,"Dubaï","Mandarin Oriental Jumeira, Dubai",01/02/2021,07/02/2021,Jumeirah,4 393 €,,77 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,6",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York",Baccarat Hotel and Residences New York,08/02/2021,14/02/2021,59e Rue,2 741 €,,121 avis,pour 1 chambre pour 6 nuits,"Excellent 9,0",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Dubaï",Anantara The Palm Dubai Resort,15/02/2021,21/02/2021,Palm Jumeirah,,1 628 €,250 avis,pour 1 chambre pour 6 nuits,"Excellent 9,0",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York",Trump International Hotel & Tower New York,15/02/2021,21/02/2021,59e Rue,3 089 €,,510 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York",Baccarat Hotel and Residences New York,15/02/2021,21/02/2021,59e Rue,2 951 €,,121 avis,pour 1 chambre pour 6 nuits,"Excellent 9,0",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Dubaï",Address Downtown,08/02/2021,14/02/2021,Downtown Dubaï,2 278 €,,107 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Dubaï",Address Boulevard,22/02/2021,28/02/2021,Downtown Dubaï,2 190 €,,102 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Dubaï",Address Dubai Mall,22/02/2021,28/02/2021,Downtown Dubaï,2 079 €,,232 avis,pour 1 chambre pour 6 nuits,"Fantastique 8,8",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Dubaï",Four Seasons Hotel Dubai International Financial Centre,01/02/2021,07/02/2021,Centre d'expositions international World Trade Center,,2 844 €,50 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Dubaï",ME Dubai by Meliá,01/02/2021,07/02/2021,Downtown Dubaï,1 759 €,,6 avis,pour 1 chambre pour 6 nuits,"Excellent 9,0",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York",Trump International Hotel & Tower New York,08/02/2021,14/02/2021,59e Rue,3 089 €,,510 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York","The Pierre, A Taj Hotel, New York",08/02/2021,14/02/2021,59e Rue,2 690 €,,324 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York","The Pierre, A Taj Hotel, New York",15/02/2021,21/02/2021,59e Rue,2 690 €,,324 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York",The Mark,15/02/2021,21/02/2021,Uptown,,3 695 €,172 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Dubaï",Jumeirah Beach Hotel,08/02/2021,14/02/2021,Umm Suqeim 3,1 862 €,,494 avis,pour 1 chambre pour 6 nuits,"Fantastique 8,8",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York",The Mark,08/02/2021,14/02/2021,Uptown,,3 695 €,172 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York",The Lowell,08/02/2021,14/02/2021,59e Rue,3 608 €,,53 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York",The Lowell,15/02/2021,21/02/2021,59e Rue,3 608 €,,53 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York",Equinox Hotel New York,15/02/2021,21/02/2021,Hudson Yards,,4 023 €,93 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Dubaï",Four Seasons Hotel Dubai International Financial Centre,08/02/2021,14/02/2021,Centre d'expositions international World Trade Center,,2 844 €,50 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Dubaï",Rixos Premium Dubai JBR,08/02/2021,14/02/2021,Jumeirah Beach Residence,,1 698 €,323 avis,pour 1 chambre pour 6 nuits,"Excellent 9,0",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"New York",The Towers at Lotte New York Palace,08/02/2021,14/02/2021,Midtown East,,3 557 €,144 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Dubaï",Nikki Beach Resort & Spa Dubai,08/02/2021,14/02/2021,Dubaï,,2 809 €,244 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Dubaï","Mandarin Oriental Jumeira, Dubai",08/02/2021,14/02/2021,Jumeirah,4 393 €,,77 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,6",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",The Beverly Hills Hotel - Dorchester Collection,22/02/2021,28/02/2021,The Flats,,4 131 €,239 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,6",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Casa Del Mar,22/02/2021,28/02/2021,Ocean Park,,2 759 €,260 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles", The London West Hollywood at Beverly Hills,22/02/2021,28/02/2021,Norma Triangle,,2 486 €,406 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Viceroy L'Ermitage Beverly Hills,22/02/2021,28/02/2021,Beverly Hills,2 892 €,,260 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Hotel Bel-Air - Dorchester Collection,22/02/2021,28/02/2021,Bel Air,,4 006 €,96 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,6",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Shutters on the Beach,22/02/2021,28/02/2021,Downtown,,3 137 €,102 avis,pour 1 chambre pour 6 nuits,"Fantastique 8,8",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Four Seasons Los Angeles at Beverly Hills,22/02/2021,28/02/2021,Beverly Grove,,2 491 €,191 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",The Beverly Hills Hotel - Dorchester Collection,22/02/2021,28/02/2021,The Flats,,4 131 €,239 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,6",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Casa Del Mar,22/02/2021,28/02/2021,Ocean Park,,2 759 €,260 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles","Beverly Wilshire - Beverly Hills, A Four Seasons Hotel",22/02/2021,28/02/2021,Beverly Hills,,2 737 €,338 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles", The London West Hollywood at Beverly Hills,22/02/2021,28/02/2021,Norma Triangle,,2 486 €,406 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Viceroy L'Ermitage Beverly Hills,22/02/2021,28/02/2021,Beverly Hills,2 892 €,,260 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Hotel Bel-Air - Dorchester Collection,22/02/2021,28/02/2021,Bel Air,,4 006 €,96 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,6",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Shutters on the Beach,22/02/2021,28/02/2021,Downtown,,3 137 €,102 avis,pour 1 chambre pour 6 nuits,"Fantastique 8,8",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles", The London West Hollywood at Beverly Hills,01/02/2021,07/02/2021,Norma Triangle,,2 169 €,406 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Casa Del Mar,01/02/2021,07/02/2021,Ocean Park,,2 753 €,260 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",The Beverly Hills Hotel - Dorchester Collection,01/02/2021,07/02/2021,The Flats,,4 131 €,239 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,6",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Viceroy L'Ermitage Beverly Hills,01/02/2021,07/02/2021,Beverly Hills,2 892 €,,260 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Shutters on the Beach,01/02/2021,07/02/2021,Downtown,,3 008 €,102 avis,pour 1 chambre pour 6 nuits,"Fantastique 8,8",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Hotel Bel-Air - Dorchester Collection,01/02/2021,07/02/2021,Bel Air,,4 294 €,96 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,6",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Four Seasons Los Angeles at Beverly Hills,01/02/2021,07/02/2021,Beverly Grove,,2 457 €,191 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles", The London West Hollywood at Beverly Hills,01/02/2021,07/02/2021,Norma Triangle,,2 169 €,406 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles","Beverly Wilshire - Beverly Hills, A Four Seasons Hotel",01/02/2021,07/02/2021,Beverly Hills,,2 643 €,338 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Casa Del Mar,01/02/2021,07/02/2021,Ocean Park,,2 753 €,260 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",The Beverly Hills Hotel - Dorchester Collection,01/02/2021,07/02/2021,The Flats,,4 131 €,239 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,6",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Viceroy L'Ermitage Beverly Hills,01/02/2021,07/02/2021,Beverly Hills,2 892 €,,260 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Shutters on the Beach,01/02/2021,07/02/2021,Downtown,,3 008 €,102 avis,pour 1 chambre pour 6 nuits,"Fantastique 8,8",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Hotel Bel-Air - Dorchester Collection,01/02/2021,07/02/2021,Bel Air,,4 294 €,96 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,6",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Tokyo",The Capitol Hotel Tokyu,01/02/2021,07/02/2021,Nagatachō,2 111 €,,391 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,6",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Tokyo",Imperial Hotel,01/02/2021,07/02/2021,Uchisaiwaicho,,2 258 €,754 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Tokyo",The Capitol Hotel Tokyu,01/02/2021,07/02/2021,Nagatachō,2 111 €,,391 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,6",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Tokyo",Park Hyatt Tokyo,01/02/2021,07/02/2021,Quartier d’affaires Nishi Shinjuku,,2 905 €,314 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,6",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Tokyo",Palace Hotel Tokyo,01/02/2021,07/02/2021,Marunouchi,,2 943 €,411 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,6",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Tokyo",The Okura Tokyo,01/02/2021,07/02/2021,Toranomon,,2 817 €,70 avis,pour 1 chambre pour 6 nuits,"Excellent 9,0",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Tokyo",Four Seasons Hotel Tokyo at Otemachi,01/02/2021,07/02/2021,Ōtemachi,,2 310 €,7 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Tokyo","Shangri-La Hotel, Tokyo",01/02/2021,07/02/2021,Nihonbashi,,2 179 €,191 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Tokyo",Imperial Hotel,01/02/2021,07/02/2021,Uchisaiwaicho,,2 258 €,754 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Tokyo",Four Seasons Hotel Tokyo at Marunouchi,01/02/2021,07/02/2021,Chūō,,3 704 €,85 avis,pour 1 chambre pour 6 nuits,"Excellent 9,0",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles", The London West Hollywood at Beverly Hills,15/02/2021,21/02/2021,Norma Triangle,,2 169 €,406 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Casa Del Mar,15/02/2021,21/02/2021,Ocean Park,,2 757 €,260 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",The Beverly Hills Hotel - Dorchester Collection,15/02/2021,21/02/2021,The Flats,,4 131 €,239 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,6",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Viceroy L'Ermitage Beverly Hills,15/02/2021,21/02/2021,Beverly Hills,2 892 €,,260 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Hotel Bel-Air - Dorchester Collection,15/02/2021,21/02/2021,Bel Air,,4 006 €,96 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,6",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Shutters on the Beach,15/02/2021,21/02/2021,Downtown,,3 135 €,102 avis,pour 1 chambre pour 6 nuits,"Fantastique 8,8",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Four Seasons Los Angeles at Beverly Hills,15/02/2021,21/02/2021,Beverly Grove,,2 673 €,191 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles", The London West Hollywood at Beverly Hills,15/02/2021,21/02/2021,Norma Triangle,,2 169 €,406 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Casa Del Mar,15/02/2021,21/02/2021,Ocean Park,,2 757 €,260 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,4",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",The Beverly Hills Hotel - Dorchester Collection,15/02/2021,21/02/2021,The Flats,,4 131 €,239 avis,pour 1 chambre pour 6 nuits,"Exceptionnel 9,6",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles","Beverly Wilshire - Beverly Hills, A Four Seasons Hotel",15/02/2021,21/02/2021,Beverly Hills,,2 767 €,338 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
hotels.com,"Los Angeles",Viceroy L'Ermitage Beverly Hills,15/02/2021,21/02/2021,Beverly Hills,2 892 €,,260 avis,pour 1 chambre pour 6 nuits,"Excellent 9,2",https://a.cdn-hotels.com/uswest2/da/assets/s/63.0.10610/images/common/core/dio/widget/1.gif
